Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 1.185E+03 1.183E+03 
2.000E-03 2.263E+03 2.261E+03 
3.000E-03 7.881E+02 7.866E+02 
4.000E-03 3.605E+02 3.592E+02 
5.000E-03 1.934E+02 1.923E+02 
6.000E-03 1.153E+02 1.143E+02 
7.000E-03 7.408E+01 7.324E+01 
8.000E-03 5.032E+01 4.960E+01 
9.000E-03 3.569E+01 3.506E+01 
1.000E-02 2.621E+01 2.566E+01 
1.100E-02 1.981E+01 1.933E+01 
1.200E-02 1.534E+01 1.491E+01 
1.300E-02 1.212E+01 1.173E+01 
1.400E-02 9.744E+00 9.397E+00 
1.500E-02 7.955E+00 7.641E+00 
1.600E-02 6.583E+00 6.298E+00 
1.700E-02 5.513E+00 5.252E+00 
1.800E-02 4.667E+00 4.428E+00 
1.900E-02 3.990E+00 3.769E+00 
2.000E-02 3.442E+00 3.237E+00 
2.100E-02 2.993E+00 2.803E+00 
2.200E-02 2.623E+00 2.445E+00 
2.300E-02 2.314E+00 2.148E+00 
2.400E-02 2.055E+00 1.900E+00 
2.500E-02 1.836E+00 1.690E+00 
2.600E-02 1.649E+00 1.512E+00 
2.700E-02 1.489E+00 1.360E+00 
2.800E-02 1.351E+00 1.229E+00 
2.900E-02 1.232E+00 1.116E+00 
3.000E-02 1.128E+00 1.019E+00 
3.100E-02 1.037E+00 9.334E-01 
3.200E-02 9.576E-01 8.588E-01 
3.300E-02 8.873E-01 7.932E-01 
3.400E-02 8.250E-01 7.353E-01 
3.500E-02 7.696E-01 6.841E-01 
3.600E-02 7.202E-01 6.386E-01 
3.700E-02 6.760E-01 5.980E-01 
3.800E-02 6.364E-01 5.617E-01 
3.900E-02 6.007E-01 5.291E-01 
4.000E-02 5.684E-01 4.998E-01 
4.100E-02 5.392E-01 4.734E-01 
4.200E-02 5.128E-01 4.496E-01 
4.300E-02 4.886E-01 4.279E-01 
4.400E-02 4.667E-01 4.083E-01 
4.500E-02 4.466E-01 3.904E-01 
4.600E-02 4.281E-01 3.741E-01 
4.700E-02 4.112E-01 3.591E-01 
4.800E-02 3.957E-01 3.455E-01 
4.900E-02 3.814E-01 3.329E-01 
5.000E-02 3.681E-01 3.214E-01 
5.100E-02 3.559E-01 3.107E-01 
5.200E-02 3.446E-01 3.009E-01 
5.300E-02 3.340E-01 2.918E-01 
5.400E-02 3.242E-01 2.834E-01 
5.500E-02 3.151E-01 2.756E-01 
5.600E-02 3.066E-01 2.683E-01 
5.700E-02 2.987E-01 2.616E-01 
5.800E-02 2.913E-01 2.553E-01 
5.900E-02 2.843E-01 2.494E-01 
6.000E-02 2.778E-01 2.440E-01 
6.100E-02 2.717E-01 2.388E-01 
6.200E-02 2.659E-01 2.340E-01 
6.300E-02 2.605E-01 2.295E-01 
6.400E-02 2.554E-01 2.253E-01 
