Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 8.585E+03 8.577E+03 
2.000E-03 1.767E+03 1.760E+03 
3.000E-03 6.533E+02 6.470E+02 
4.000E-03 3.169E+02 3.114E+02 
5.000E-03 8.848E+02 8.800E+02 
6.000E-03 5.567E+02 5.525E+02 
7.000E-03 3.725E+02 3.688E+02 
8.000E-03 2.631E+02 2.598E+02 
9.000E-03 1.926E+02 1.897E+02 
1.000E-02 1.458E+02 1.432E+02 
1.100E-02 1.129E+02 1.104E+02 
1.200E-02 8.937E+01 8.712E+01 
1.300E-02 7.213E+01 7.006E+01 
1.400E-02 5.918E+01 5.726E+01 
1.500E-02 4.924E+01 4.746E+01 
1.600E-02 4.135E+01 3.970E+01 
1.700E-02 3.510E+01 3.357E+01 
1.800E-02 3.009E+01 2.866E+01 
1.900E-02 2.602E+01 2.469E+01 
2.000E-02 2.268E+01 2.143E+01 
2.100E-02 1.987E+01 1.869E+01 
2.200E-02 1.751E+01 1.641E+01 
2.300E-02 1.553E+01 1.449E+01 
2.400E-02 1.385E+01 1.287E+01 
2.500E-02 1.241E+01 1.149E+01 
2.600E-02 1.117E+01 1.030E+01 
2.700E-02 1.010E+01 9.271E+00 
2.800E-02 9.163E+00 8.380E+00 
2.900E-02 8.347E+00 7.602E+00 
3.000E-02 7.629E+00 6.921E+00 
3.100E-02 3.904E+01 3.837E+01 
3.200E-02 3.601E+01 3.536E+01 
3.300E-02 3.329E+01 3.267E+01 
3.400E-02 3.084E+01 3.025E+01 
3.500E-02 2.863E+01 2.807E+01 
3.600E-02 2.663E+01 2.609E+01 
3.700E-02 2.482E+01 2.430E+01 
3.800E-02 2.316E+01 2.266E+01 
3.900E-02 2.165E+01 2.117E+01 
4.000E-02 2.026E+01 1.980E+01 
4.100E-02 1.899E+01 1.855E+01 
4.200E-02 1.782E+01 1.740E+01 
4.300E-02 1.675E+01 1.633E+01 
4.400E-02 1.576E+01 1.536E+01 
4.500E-02 1.484E+01 1.446E+01 
4.600E-02 1.400E+01 1.362E+01 
4.700E-02 1.322E+01 1.286E+01 
4.800E-02 1.249E+01 1.214E+01 
4.900E-02 1.182E+01 1.148E+01 
5.000E-02 1.120E+01 1.087E+01 
5.100E-02 1.062E+01 1.031E+01 
5.200E-02 1.009E+01 9.778E+00 
5.300E-02 9.584E+00 9.286E+00 
5.400E-02 9.117E+00 8.827E+00 
5.500E-02 8.680E+00 8.399E+00 
5.600E-02 8.271E+00 7.998E+00 
5.700E-02 7.888E+00 7.623E+00 
5.800E-02 7.529E+00 7.271E+00 
5.900E-02 7.192E+00 6.941E+00 
6.000E-02 6.875E+00 6.631E+00 
6.100E-02 6.577E+00 6.340E+00 
6.200E-02 6.296E+00 6.065E+00 
6.300E-02 6.031E+00 5.806E+00 
6.400E-02 5.781E+00 5.562E+00 
6.500E-02 5.545E+00 5.332E+00 
6.600E-02 5.323E+00 5.115E+00 
6.700E-02 5.112E+00 4.909E+00 
6.800E-02 4.912E+00 4.714E+00 
6.900E-02 4.723E+00 4.530E+00 
7.000E-02 4.544E+00 4.356E+00 
7.100E-02 4.374E+00 4.190E+00 
7.200E-02 4.213E+00 4.033E+00 
7.300E-02 4.059E+00 3.884E+00 
7.400E-02 3.914E+00 3.743E+00 
7.500E-02 3.775E+00 3.608E+00 
7.600E-02 3.644E+00 3.480E+00 
7.700E-02 3.518E+00 3.358E+00 
7.800E-02 3.399E+00 3.242E+00 
7.900E-02 3.285E+00 3.132E+00 
8.000E-02 3.176E+00 3.026E+00 
8.100E-02 3.072E+00 2.926E+00 
8.200E-02 2.973E+00 2.830E+00 
8.300E-02 2.878E+00 2.738E+00 
8.400E-02 2.788E+00 2.650E+00 
8.500E-02 2.701E+00 2.567E+00 
8.600E-02 2.618E+00 2.486E+00 
8.700E-02 2.539E+00 2.410E+00 
8.800E-02 2.463E+00 2.336E+00 
8.900E-02 2.390E+00 2.266E+00 
9.000E-02 2.320E+00 2.199E+00 
9.100E-02 2.253E+00 2.134E+00 
9.200E-02 2.189E+00 2.072E+00 
9.300E-02 2.127E+00 2.012E+00 
9.400E-02 2.068E+00 1.955E+00 
9.500E-02 2.011E+00 1.900E+00 
9.600E-02 1.956E+00 1.848E+00 
9.700E-02 1.904E+00 1.797E+00 
9.800E-02 1.853E+00 1.748E+00 
9.900E-02 1.805E+00 1.702E+00 
1.000E-01 1.758E+00 1.656E+00 
1.010E-01 1.712E+00 1.613E+00 
1.020E-01 1.669E+00 1.571E+00 
1.030E-01 1.627E+00 1.531E+00 
1.040E-01 1.587E+00 1.492E+00 
1.050E-01 1.548E+00 1.455E+00 
1.060E-01 1.510E+00 1.419E+00 
1.070E-01 1.474E+00 1.384E+00 
1.080E-01 1.439E+00 1.350E+00 
1.090E-01 1.405E+00 1.318E+00 
1.100E-01 1.372E+00 1.286E+00 
1.110E-01 1.340E+00 1.256E+00 
1.120E-01 1.310E+00 1.227E+00 
1.130E-01 1.280E+00 1.199E+00 
1.140E-01 1.252E+00 1.171E+00 
1.150E-01 1.224E+00 1.145E+00 
1.160E-01 1.197E+00 1.119E+00 
1.170E-01 1.171E+00 1.095E+00 
1.180E-01 1.146E+00 1.071E+00 
1.190E-01 1.122E+00 1.048E+00 
1.200E-01 1.099E+00 1.025E+00 
1.210E-01 1.076E+00 1.004E+00 
1.220E-01 1.054E+00 9.825E-01 
1.230E-01 1.032E+00 9.621E-01 
1.240E-01 1.011E+00 9.423E-01 
1.250E-01 9.913E-01 9.231E-01 
1.260E-01 9.718E-01 9.045E-01 
1.270E-01 9.528E-01 8.865E-01 
1.280E-01 9.344E-01 8.690E-01 
1.290E-01 9.165E-01 8.520E-01 
1.300E-01 8.991E-01 8.355E-01 
1.310E-01 8.822E-01 8.195E-01 
1.320E-01 8.658E-01 8.039E-01 
