Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 8.542E+03 8.534E+03 
2.000E-03 2.319E+03 2.311E+03 
3.000E-03 8.696E+02 8.630E+02 
4.000E-03 4.245E+02 4.188E+02 
5.000E-03 2.414E+02 2.364E+02 
6.000E-03 6.899E+02 6.855E+02 
7.000E-03 4.672E+02 4.632E+02 
8.000E-03 3.335E+02 3.299E+02 
9.000E-03 2.450E+02 2.418E+02 
1.000E-02 1.860E+02 1.831E+02 
1.100E-02 1.443E+02 1.417E+02 
1.200E-02 1.146E+02 1.121E+02 
1.300E-02 9.265E+01 9.043E+01 
1.400E-02 7.615E+01 7.409E+01 
1.500E-02 6.346E+01 6.155E+01 
1.600E-02 5.336E+01 5.158E+01 
1.700E-02 4.535E+01 4.369E+01 
1.800E-02 3.892E+01 3.736E+01 
1.900E-02 3.368E+01 3.223E+01 
2.000E-02 2.938E+01 2.801E+01 
2.100E-02 2.575E+01 2.446E+01 
2.200E-02 2.271E+01 2.150E+01 
2.300E-02 2.015E+01 1.900E+01 
2.400E-02 1.797E+01 1.689E+01 
2.500E-02 1.610E+01 1.508E+01 
2.600E-02 1.450E+01 1.353E+01 
2.700E-02 1.311E+01 1.219E+01 
2.800E-02 1.190E+01 1.103E+01 
2.900E-02 1.084E+01 1.001E+01 
3.000E-02 9.903E+00 9.116E+00 
3.100E-02 9.071E+00 8.321E+00 
3.200E-02 8.334E+00 7.619E+00 
3.300E-02 7.678E+00 6.995E+00 
3.400E-02 7.093E+00 6.439E+00 
3.500E-02 6.569E+00 5.943E+00 
3.600E-02 6.098E+00 5.498E+00 
3.700E-02 5.673E+00 5.097E+00 
3.800E-02 2.808E+01 2.753E+01 
3.900E-02 2.624E+01 2.571E+01 
4.000E-02 2.457E+01 2.406E+01 
4.100E-02 2.305E+01 2.255E+01 
4.200E-02 2.166E+01 2.118E+01 
4.300E-02 2.038E+01 1.992E+01 
4.400E-02 1.921E+01 1.876E+01 
4.500E-02 1.812E+01 1.770E+01 
4.600E-02 1.712E+01 1.671E+01 
4.700E-02 1.620E+01 1.580E+01 
4.800E-02 1.534E+01 1.495E+01 
4.900E-02 1.453E+01 1.416E+01 
5.000E-02 1.379E+01 1.342E+01 
5.100E-02 1.309E+01 1.274E+01 
5.200E-02 1.244E+01 1.210E+01 
5.300E-02 1.183E+01 1.150E+01 
5.400E-02 1.126E+01 1.094E+01 
5.500E-02 1.072E+01 1.041E+01 
5.600E-02 1.022E+01 9.919E+00 
5.700E-02 9.755E+00 9.458E+00 
5.800E-02 9.314E+00 9.026E+00 
5.900E-02 8.900E+00 8.619E+00 
6.000E-02 8.511E+00 8.238E+00 
6.100E-02 8.145E+00 7.879E+00 
6.200E-02 7.800E+00 7.541E+00 
6.300E-02 7.475E+00 7.223E+00 
6.400E-02 7.169E+00 6.923E+00 
6.500E-02 6.880E+00 6.640E+00 
6.600E-02 6.606E+00 6.373E+00 
6.700E-02 6.347E+00 6.120E+00 
6.800E-02 6.102E+00 5.880E+00 
6.900E-02 5.870E+00 5.654E+00 
7.000E-02 5.650E+00 5.439E+00 
7.100E-02 5.441E+00 5.235E+00 
7.200E-02 5.243E+00 5.041E+00 
7.300E-02 5.054E+00 4.857E+00 
7.400E-02 4.875E+00 4.682E+00 
7.500E-02 4.704E+00 4.516E+00 
7.600E-02 4.542E+00 4.357E+00 
7.700E-02 4.387E+00 4.207E+00 
7.800E-02 4.239E+00 4.063E+00 
7.900E-02 4.098E+00 3.925E+00 
8.000E-02 3.963E+00 3.794E+00 
8.100E-02 3.834E+00 3.669E+00 
8.200E-02 3.712E+00 3.550E+00 
8.300E-02 3.594E+00 3.436E+00 
8.400E-02 3.481E+00 3.326E+00 
8.500E-02 3.374E+00 3.222E+00 
8.600E-02 3.271E+00 3.122E+00 
8.700E-02 3.172E+00 3.026E+00 
8.800E-02 3.077E+00 2.934E+00 
8.900E-02 2.986E+00 2.846E+00 
9.000E-02 2.899E+00 2.762E+00 
9.100E-02 2.816E+00 2.681E+00 
9.200E-02 2.735E+00 2.603E+00 
9.300E-02 2.658E+00 2.528E+00 
9.400E-02 2.584E+00 2.457E+00 
9.500E-02 2.513E+00 2.388E+00 
9.600E-02 2.445E+00 2.322E+00 
9.700E-02 2.379E+00 2.258E+00 
