Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 1.057E+04 1.057E+04 
2.000E-03 2.154E+03 2.149E+03 
3.000E-03 7.488E+02 7.449E+02 
4.000E-03 3.473E+02 3.439E+02 
5.000E-03 1.899E+02 1.870E+02 
6.000E-03 1.156E+02 1.131E+02 
7.000E-03 7.571E+01 7.356E+01 
8.000E-03 5.255E+01 5.068E+01 
9.000E-03 2.768E+02 2.752E+02 
1.000E-02 2.160E+02 2.145E+02 
1.100E-02 1.703E+02 1.690E+02 
1.200E-02 1.357E+02 1.345E+02 
1.300E-02 1.094E+02 1.084E+02 
1.400E-02 8.943E+01 8.847E+01 
1.500E-02 7.405E+01 7.317E+01 
1.600E-02 6.211E+01 6.130E+01 
1.700E-02 5.266E+01 5.191E+01 
1.800E-02 4.508E+01 4.438E+01 
1.900E-02 3.890E+01 3.825E+01 
2.000E-02 3.380E+01 3.319E+01 
2.100E-02 2.955E+01 2.898E+01 
2.200E-02 2.598E+01 2.545E+01 
2.300E-02 2.297E+01 2.247E+01 
2.400E-02 2.040E+01 1.993E+01 
2.500E-02 1.820E+01 1.776E+01 
2.600E-02 1.631E+01 1.589E+01 
2.700E-02 1.467E+01 1.428E+01 
2.800E-02 1.325E+01 1.287E+01 
2.900E-02 1.200E+01 1.165E+01 
3.000E-02 1.091E+01 1.058E+01 
3.100E-02 9.951E+00 9.631E+00 
3.200E-02 9.101E+00 8.797E+00 
3.300E-02 8.347E+00 8.056E+00 
3.400E-02 7.674E+00 7.398E+00 
3.500E-02 7.074E+00 6.810E+00 
3.600E-02 6.535E+00 6.283E+00 
3.700E-02 6.051E+00 5.809E+00 
3.800E-02 5.614E+00 5.383E+00 
3.900E-02 5.219E+00 4.998E+00 
4.000E-02 4.862E+00 4.649E+00 
4.100E-02 4.537E+00 4.333E+00 
4.200E-02 4.241E+00 4.045E+00 
4.300E-02 3.971E+00 3.783E+00 
4.400E-02 3.724E+00 3.543E+00 
4.500E-02 3.498E+00 3.323E+00 
4.600E-02 3.291E+00 3.122E+00 
4.700E-02 3.100E+00 2.938E+00 
4.800E-02 2.925E+00 2.768E+00 
4.900E-02 2.763E+00 2.611E+00 
5.000E-02 2.613E+00 2.466E+00 
5.100E-02 2.474E+00 2.332E+00 
5.200E-02 2.346E+00 2.209E+00 
5.300E-02 2.227E+00 2.094E+00 
5.400E-02 2.116E+00 1.987E+00 
5.500E-02 2.013E+00 1.888E+00 
5.600E-02 1.917E+00 1.796E+00 
5.700E-02 1.828E+00 1.710E+00 
5.800E-02 1.744E+00 1.630E+00 
5.900E-02 1.666E+00 1.555E+00 
6.000E-02 1.593E+00 1.485E+00 
6.100E-02 1.524E+00 1.419E+00 
6.200E-02 1.460E+00 1.358E+00 
6.300E-02 1.399E+00 1.300E+00 
6.400E-02 1.342E+00 1.246E+00 
6.500E-02 1.289E+00 1.195E+00 
6.600E-02 1.239E+00 1.147E+00 
6.700E-02 1.191E+00 1.102E+00 
6.800E-02 1.146E+00 1.059E+00 
6.900E-02 1.104E+00 1.019E+00 
7.000E-02 1.064E+00 9.811E-01 
7.100E-02 1.026E+00 9.453E-01 
7.200E-02 9.906E-01 9.115E-01 
7.300E-02 9.567E-01 8.794E-01 
7.400E-02 9.246E-01 8.491E-01 
7.500E-02 8.941E-01 8.203E-01 
7.600E-02 8.652E-01 7.931E-01 
7.700E-02 8.377E-01 7.672E-01 
7.800E-02 8.115E-01 7.426E-01 
7.900E-02 7.866E-01 7.192E-01 
8.000E-02 7.630E-01 6.970E-01 
8.100E-02 7.404E-01 6.759E-01 
8.200E-02 7.189E-01 6.557E-01 
8.300E-02 6.984E-01 6.366E-01 
8.400E-02 6.788E-01 6.183E-01 
8.500E-02 6.602E-01 6.008E-01 
8.600E-02 6.423E-01 5.842E-01 
8.700E-02 6.252E-01 5.683E-01 
8.800E-02 6.089E-01 5.531E-01 
8.900E-02 5.933E-01 5.386E-01 
9.000E-02 5.783E-01 5.247E-01 
9.100E-02 5.640E-01 5.114E-01 
9.200E-02 5.503E-01 4.987E-01 
9.300E-02 5.371E-01 4.865E-01 
9.400E-02 5.245E-01 4.748E-01 
9.500E-02 5.124E-01 4.636E-01 
9.600E-02 5.007E-01 4.529E-01 
9.700E-02 4.895E-01 4.426E-01 
9.800E-02 4.788E-01 4.327E-01 
9.900E-02 4.684E-01 4.232E-01 
1.000E-01 4.585E-01 4.140E-01 
1.010E-01 4.489E-01 4.053E-01 
1.020E-01 4.397E-01 3.968E-01 
1.030E-01 4.308E-01 3.887E-01 
1.040E-01 4.223E-01 3.809E-01 
1.050E-01 4.141E-01 3.733E-01 
1.060E-01 4.061E-01 3.661E-01 
1.070E-01 3.985E-01 3.591E-01 
1.080E-01 3.911E-01 3.524E-01 
1.090E-01 3.839E-01 3.459E-01 
1.100E-01 3.770E-01 3.396E-01 
1.110E-01 3.704E-01 3.335E-01 
1.120E-01 3.639E-01 3.277E-01 
1.130E-01 3.577E-01 3.221E-01 
1.140E-01 3.517E-01 3.166E-01 
1.150E-01 3.459E-01 3.114E-01 
1.160E-01 3.403E-01 3.063E-01 
1.170E-01 3.348E-01 3.014E-01 
1.180E-01 3.295E-01 2.966E-01 
1.190E-01 3.244E-01 2.920E-01 
1.200E-01 3.195E-01 2.875E-01 
1.210E-01 3.147E-01 2.832E-01 
1.220E-01 3.100E-01 2.791E-01 
1.230E-01 3.055E-01 2.750E-01 
1.240E-01 3.011E-01 2.711E-01 
1.250E-01 2.969E-01 2.673E-01 
1.260E-01 2.928E-01 2.636E-01 
1.270E-01 2.888E-01 2.600E-01 
1.280E-01 2.849E-01 2.566E-01 
1.290E-01 2.811E-01 2.532E-01 
1.300E-01 2.775E-01 2.499E-01 
1.310E-01 2.739E-01 2.467E-01 
1.320E-01 2.705E-01 2.437E-01 
1.330E-01 2.671E-01 2.407E-01 
1.340E-01 2.638E-01 2.378E-01 
1.350E-01 2.606E-01 2.349E-01 
1.360E-01 2.575E-01 2.322E-01 
1.370E-01 2.545E-01 2.295E-01 
1.380E-01 2.516E-01 2.269E-01 
1.390E-01 2.487E-01 2.244E-01 
1.400E-01 2.460E-01 2.219E-01 
1.410E-01 2.432E-01 2.195E-01 
1.420E-01 2.406E-01 2.172E-01 
1.430E-01 2.380E-01 2.149E-01 
1.440E-01 2.355E-01 2.127E-01 
1.450E-01 2.331E-01 2.106E-01 
1.460E-01 2.307E-01 2.085E-01 
1.470E-01 2.284E-01 2.064E-01 
1.480E-01 2.261E-01 2.044E-01 
1.490E-01 2.239E-01 2.025E-01 
1.500E-01 2.217E-01 2.006E-01 
1.510E-01 2.196E-01 1.987E-01 
1.520E-01 2.175E-01 1.969E-01 
1.530E-01 2.155E-01 1.952E-01 
1.540E-01 2.135E-01 1.934E-01 
1.550E-01 2.116E-01 1.918E-01 
1.560E-01 2.097E-01 1.901E-01 
1.570E-01 2.079E-01 1.885E-01 
1.580E-01 2.061E-01 1.870E-01 
1.590E-01 2.044E-01 1.854E-01 
1.600E-01 2.026E-01 1.839E-01 
1.610E-01 2.010E-01 1.825E-01 
1.620E-01 1.993E-01 1.810E-01 
1.630E-01 1.977E-01 1.796E-01 
1.640E-01 1.961E-01 1.783E-01 
1.650E-01 1.946E-01 1.769E-01 
1.660E-01 1.931E-01 1.756E-01 
1.670E-01 1.916E-01 1.743E-01 
1.680E-01 1.902E-01 1.731E-01 
1.690E-01 1.887E-01 1.719E-01 
1.700E-01 1.874E-01 1.707E-01 
1.710E-01 1.860E-01 1.695E-01 
1.720E-01 1.847E-01 1.683E-01 
1.730E-01 1.834E-01 1.672E-01 
1.740E-01 1.821E-01 1.661E-01 
1.750E-01 1.808E-01 1.650E-01 
1.760E-01 1.796E-01 1.640E-01 
1.770E-01 1.784E-01 1.629E-01 
1.780E-01 1.772E-01 1.619E-01 
1.790E-01 1.760E-01 1.609E-01 
1.800E-01 1.749E-01 1.599E-01 
1.810E-01 1.738E-01 1.590E-01 
1.820E-01 1.727E-01 1.580E-01 
1.830E-01 1.716E-01 1.571E-01 
1.840E-01 1.705E-01 1.562E-01 
1.850E-01 1.695E-01 1.553E-01 
1.860E-01 1.685E-01 1.544E-01 
1.870E-01 1.675E-01 1.535E-01 
1.880E-01 1.665E-01 1.527E-01 
1.890E-01 1.655E-01 1.519E-01 
1.900E-01 1.646E-01 1.511E-01 
1.910E-01 1.637E-01 1.503E-01 
1.920E-01 1.627E-01 1.495E-01 
1.930E-01 1.618E-01 1.487E-01 
1.940E-01 1.609E-01 1.480E-01 
1.950E-01 1.601E-01 1.472E-01 
1.960E-01 1.592E-01 1.465E-01 
1.970E-01 1.584E-01 1.458E-01 
1.980E-01 1.575E-01 1.450E-01 
1.990E-01 1.567E-01 1.444E-01 
