Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 2.291E+03 2.281E+03 
2.000E-03 3.360E+03 3.351E+03 
3.000E-03 1.292E+03 1.284E+03 
4.000E-03 6.381E+02 6.312E+02 
5.000E-03 3.653E+02 3.592E+02 
6.000E-03 2.305E+02 2.251E+02 
7.000E-03 1.557E+02 1.509E+02 
8.000E-03 4.069E+02 4.025E+02 
9.000E-03 3.502E+02 3.463E+02 
1.000E-02 2.693E+02 2.658E+02 
1.100E-02 2.098E+02 2.066E+02 
1.200E-02 1.671E+02 1.642E+02 
1.300E-02 1.356E+02 1.329E+02 
1.400E-02 1.117E+02 1.093E+02 
1.500E-02 9.335E+01 9.106E+01 
1.600E-02 7.866E+01 7.653E+01 
1.700E-02 6.699E+01 6.501E+01 
1.800E-02 5.759E+01 5.573E+01 
1.900E-02 4.993E+01 4.819E+01 
2.000E-02 4.361E+01 4.198E+01 
2.100E-02 3.827E+01 3.673E+01 
2.200E-02 3.380E+01 3.234E+01 
2.300E-02 3.002E+01 2.864E+01 
2.400E-02 2.680E+01 2.550E+01 
2.500E-02 2.404E+01 2.281E+01 
2.600E-02 2.167E+01 2.049E+01 
2.700E-02 1.960E+01 1.849E+01 
2.800E-02 1.780E+01 1.674E+01 
2.900E-02 1.623E+01 1.522E+01 
3.000E-02 1.484E+01 1.388E+01 
3.100E-02 1.359E+01 1.267E+01 
3.200E-02 1.249E+01 1.161E+01 
3.300E-02 1.151E+01 1.067E+01 
3.400E-02 1.063E+01 9.827E+00 
3.500E-02 9.844E+00 9.074E+00 
3.600E-02 9.136E+00 8.398E+00 
3.700E-02 8.498E+00 7.790E+00 
3.800E-02 7.920E+00 7.240E+00 
3.900E-02 7.396E+00 6.743E+00 
4.000E-02 6.920E+00 6.292E+00 
4.100E-02 6.482E+00 5.878E+00 
4.200E-02 6.082E+00 5.501E+00 
4.300E-02 5.717E+00 5.156E+00 
4.400E-02 5.381E+00 4.841E+00 
4.500E-02 5.074E+00 4.552E+00 
4.600E-02 4.790E+00 4.286E+00 
4.700E-02 4.529E+00 4.041E+00 
4.800E-02 4.288E+00 3.816E+00 
4.900E-02 4.066E+00 3.607E+00 
5.000E-02 3.860E+00 3.415E+00 
5.100E-02 1.792E+01 1.749E+01 
5.200E-02 1.704E+01 1.662E+01 
5.300E-02 1.622E+01 1.581E+01 
5.400E-02 1.545E+01 1.505E+01 
5.500E-02 1.473E+01 1.434E+01 
5.600E-02 1.406E+01 1.368E+01 
