Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 4.653E+03 4.641E+03 
2.000E-03 1.137E+03 1.125E+03 
3.000E-03 2.049E+03 2.039E+03 
4.000E-03 1.144E+03 1.135E+03 
5.000E-03 6.660E+02 6.580E+02 
6.000E-03 4.252E+02 4.180E+02 
7.000E-03 2.891E+02 2.826E+02 
8.000E-03 2.072E+02 2.013E+02 
9.000E-03 1.539E+02 1.486E+02 
1.000E-02 1.181E+02 1.133E+02 
1.100E-02 9.283E+01 8.841E+01 
1.200E-02 1.837E+02 1.796E+02 
1.300E-02 1.484E+02 1.447E+02 
1.400E-02 1.685E+02 1.651E+02 
1.500E-02 1.637E+02 1.605E+02 
1.600E-02 1.389E+02 1.360E+02 
1.700E-02 1.191E+02 1.163E+02 
1.800E-02 1.030E+02 1.004E+02 
1.900E-02 8.976E+01 8.737E+01 
2.000E-02 7.881E+01 7.657E+01 
2.100E-02 6.940E+01 6.729E+01 
2.200E-02 6.148E+01 5.949E+01 
2.300E-02 5.477E+01 5.289E+01 
2.400E-02 4.903E+01 4.726E+01 
2.500E-02 4.410E+01 4.242E+01 
2.600E-02 3.984E+01 3.824E+01 
2.700E-02 3.613E+01 3.461E+01 
2.800E-02 3.289E+01 3.144E+01 
2.900E-02 3.004E+01 2.865E+01 
3.000E-02 2.752E+01 2.620E+01 
3.100E-02 2.525E+01 2.399E+01 
3.200E-02 2.323E+01 2.202E+01 
3.300E-02 2.144E+01 2.028E+01 
3.400E-02 1.983E+01 1.871E+01 
3.500E-02 1.838E+01 1.731E+01 
3.600E-02 1.708E+01 1.605E+01 
3.700E-02 1.590E+01 1.491E+01 
3.800E-02 1.483E+01 1.388E+01 
3.900E-02 1.386E+01 1.295E+01 
4.000E-02 1.298E+01 1.210E+01 
4.100E-02 1.217E+01 1.132E+01 
4.200E-02 1.143E+01 1.061E+01 
4.300E-02 1.074E+01 9.955E+00 
4.400E-02 1.012E+01 9.356E+00 
4.500E-02 9.542E+00 8.806E+00 
4.600E-02 9.011E+00 8.300E+00 
4.700E-02 8.521E+00 7.833E+00 
4.800E-02 8.068E+00 7.402E+00 
4.900E-02 7.648E+00 7.003E+00 
5.000E-02 7.258E+00 6.634E+00 
5.100E-02 6.893E+00 6.288E+00 
5.200E-02 6.553E+00 5.967E+00 
5.300E-02 6.237E+00 5.668E+00 
5.400E-02 5.942E+00 5.390E+00 
5.500E-02 5.667E+00 5.130E+00 
5.600E-02 5.409E+00 4.887E+00 
5.700E-02 5.167E+00 4.660E+00 
5.800E-02 4.941E+00 4.448E+00 
5.900E-02 4.729E+00 4.249E+00 
6.000E-02 4.529E+00 4.062E+00 
6.100E-02 4.340E+00 3.885E+00 
6.200E-02 4.162E+00 3.719E+00 
6.300E-02 3.995E+00 3.563E+00 
6.400E-02 3.837E+00 3.416E+00 
6.500E-02 3.688E+00 3.277E+00 
6.600E-02 3.547E+00 3.146E+00 
6.700E-02 3.414E+00 3.022E+00 
6.800E-02 3.287E+00 2.905E+00 
6.900E-02 3.168E+00 2.794E+00 
7.000E-02 3.054E+00 2.689E+00 
7.100E-02 2.947E+00 2.590E+00 
7.200E-02 2.844E+00 2.496E+00 
7.300E-02 2.747E+00 2.406E+00 
7.400E-02 2.655E+00 2.321E+00 
7.500E-02 2.567E+00 2.241E+00 
7.600E-02 2.483E+00 2.164E+00 
7.700E-02 2.403E+00 2.091E+00 
7.800E-02 2.327E+00 2.021E+00 
7.900E-02 2.255E+00 1.955E+00 
8.000E-02 2.185E+00 1.892E+00 
8.100E-02 8.825E+00 8.538E+00 
8.200E-02 8.552E+00 8.271E+00 
8.300E-02 8.292E+00 8.015E+00 
8.400E-02 8.042E+00 7.771E+00 
8.500E-02 7.802E+00 7.537E+00 
8.600E-02 7.573E+00 7.312E+00 
8.700E-02 7.353E+00 7.097E+00 
8.800E-02 7.141E+00 6.891E+00 
8.900E-02 6.938E+00 6.692E+00 
9.000E-02 6.744E+00 6.502E+00 
9.100E-02 6.556E+00 6.319E+00 
9.200E-02 6.377E+00 6.144E+00 
9.300E-02 6.203E+00 5.975E+00 
9.400E-02 6.037E+00 5.812E+00 
9.500E-02 5.877E+00 5.656E+00 
9.600E-02 5.722E+00 5.505E+00 
9.700E-02 5.573E+00 5.360E+00 
9.800E-02 5.430E+00 5.221E+00 
9.900E-02 5.292E+00 5.086E+00 
1.000E-01 5.158E+00 4.956E+00 
1.010E-01 5.030E+00 4.831E+00 
1.020E-01 4.906E+00 4.710E+00 
1.030E-01 4.786E+00 4.593E+00 
1.040E-01 4.670E+00 4.480E+00 
1.050E-01 4.558E+00 4.372E+00 
1.060E-01 4.450E+00 4.266E+00 
1.070E-01 4.345E+00 4.165E+00 
1.080E-01 4.244E+00 4.067E+00 
1.090E-01 4.146E+00 3.971E+00 
1.100E-01 4.051E+00 3.880E+00 
1.110E-01 3.960E+00 3.790E+00 
1.120E-01 3.871E+00 3.704E+00 
1.130E-01 3.785E+00 3.621E+00 
1.140E-01 3.702E+00 3.540E+00 
1.150E-01 3.621E+00 3.462E+00 
1.160E-01 3.543E+00 3.386E+00 
1.170E-01 3.467E+00 3.312E+00 
1.180E-01 3.393E+00 3.241E+00 
1.190E-01 3.322E+00 3.172E+00 
1.200E-01 3.252E+00 3.104E+00 
1.210E-01 3.185E+00 3.039E+00 
1.220E-01 3.120E+00 2.976E+00 
1.230E-01 3.056E+00 2.915E+00 
1.240E-01 2.994E+00 2.855E+00 
1.250E-01 2.935E+00 2.797E+00 
1.260E-01 2.876E+00 2.741E+00 
1.270E-01 2.820E+00 2.686E+00 
1.280E-01 2.765E+00 2.633E+00 
1.290E-01 2.711E+00 2.581E+00 
1.300E-01 2.659E+00 2.531E+00 
1.310E-01 2.608E+00 2.482E+00 
1.320E-01 2.559E+00 2.434E+00 
1.330E-01 2.511E+00 2.388E+00 
1.340E-01 2.464E+00 2.343E+00 
1.350E-01 2.419E+00 2.299E+00 
1.360E-01 2.375E+00 2.256E+00 
1.370E-01 2.331E+00 2.215E+00 
1.380E-01 2.289E+00 2.174E+00 
1.390E-01 2.248E+00 2.135E+00 
1.400E-01 2.209E+00 2.096E+00 
1.410E-01 2.170E+00 2.059E+00 
1.420E-01 2.132E+00 2.022E+00 
1.430E-01 2.095E+00 1.986E+00 
1.440E-01 2.059E+00 1.952E+00 
1.450E-01 2.023E+00 1.918E+00 
1.460E-01 1.989E+00 1.885E+00 
1.470E-01 1.955E+00 1.852E+00 
1.480E-01 1.923E+00 1.821E+00 
1.490E-01 1.891E+00 1.790E+00 
1.500E-01 1.859E+00 1.760E+00 
1.510E-01 1.829E+00 1.731E+00 
1.520E-01 1.799E+00 1.702E+00 
1.530E-01 1.770E+00 1.674E+00 
1.540E-01 1.742E+00 1.647E+00 
1.550E-01 1.714E+00 1.620E+00 
1.560E-01 1.687E+00 1.594E+00 
1.570E-01 1.660E+00 1.569E+00 
1.580E-01 1.635E+00 1.544E+00 
1.590E-01 1.609E+00 1.520E+00 
1.600E-01 1.584E+00 1.496E+00 
1.610E-01 1.560E+00 1.473E+00 
1.620E-01 1.537E+00 1.450E+00 
1.630E-01 1.513E+00 1.428E+00 
1.640E-01 1.491E+00 1.406E+00 
1.650E-01 1.469E+00 1.385E+00 
1.660E-01 1.447E+00 1.364E+00 
1.670E-01 1.426E+00 1.344E+00 
1.680E-01 1.405E+00 1.324E+00 
1.690E-01 1.385E+00 1.304E+00 
1.700E-01 1.365E+00 1.285E+00 
1.710E-01 1.345E+00 1.267E+00 
1.720E-01 1.326E+00 1.248E+00 
1.730E-01 1.307E+00 1.230E+00 
1.740E-01 1.289E+00 1.213E+00 
1.750E-01 1.271E+00 1.196E+00 
1.760E-01 1.254E+00 1.179E+00 
1.770E-01 1.237E+00 1.163E+00 
1.780E-01 1.220E+00 1.146E+00 
1.790E-01 1.203E+00 1.131E+00 
1.800E-01 1.187E+00 1.115E+00 
1.810E-01 1.171E+00 1.100E+00 
1.820E-01 1.156E+00 1.085E+00 
1.830E-01 1.140E+00 1.071E+00 
1.840E-01 1.125E+00 1.056E+00 
1.850E-01 1.111E+00 1.042E+00 
1.860E-01 1.096E+00 1.029E+00 
1.870E-01 1.082E+00 1.015E+00 
1.880E-01 1.068E+00 1.002E+00 
1.890E-01 1.055E+00 9.892E-01 
1.900E-01 1.042E+00 9.766E-01 
1.910E-01 1.029E+00 9.641E-01 
1.920E-01 1.016E+00 9.519E-01 
1.930E-01 1.003E+00 9.400E-01 
1.940E-01 9.909E-01 9.282E-01 
1.950E-01 9.788E-01 9.167E-01 
1.960E-01 9.669E-01 9.054E-01 
1.970E-01 9.552E-01 8.943E-01 
1.980E-01 9.438E-01 8.834E-01 
1.990E-01 9.326E-01 8.727E-01 
