Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 9.096E+03 9.087E+03 
2.000E-03 1.997E+03 1.989E+03 
3.000E-03 7.420E+02 7.356E+02 
4.000E-03 3.608E+02 3.551E+02 
5.000E-03 8.430E+02 8.381E+02 
6.000E-03 6.175E+02 6.131E+02 
7.000E-03 4.134E+02 4.095E+02 
8.000E-03 2.921E+02 2.887E+02 
9.000E-03 2.144E+02 2.113E+02 
1.000E-02 1.626E+02 1.598E+02 
1.100E-02 1.260E+02 1.234E+02 
1.200E-02 9.983E+01 9.749E+01 
1.300E-02 8.064E+01 7.849E+01 
1.400E-02 6.620E+01 6.421E+01 
1.500E-02 5.511E+01 5.327E+01 
1.600E-02 4.631E+01 4.459E+01 
1.700E-02 3.933E+01 3.773E+01 
1.800E-02 3.373E+01 3.224E+01 
1.900E-02 2.918E+01 2.778E+01 
2.000E-02 2.543E+01 2.412E+01 
2.100E-02 2.228E+01 2.105E+01 
2.200E-02 1.965E+01 1.849E+01 
2.300E-02 1.743E+01 1.634E+01 
2.400E-02 1.554E+01 1.451E+01 
2.500E-02 1.393E+01 1.296E+01 
2.600E-02 1.254E+01 1.162E+01 
2.700E-02 1.133E+01 1.046E+01 
2.800E-02 1.028E+01 9.459E+00 
2.900E-02 9.367E+00 8.583E+00 
3.000E-02 8.561E+00 7.815E+00 
3.100E-02 7.843E+00 7.133E+00 
3.200E-02 7.208E+00 6.529E+00 
3.300E-02 6.642E+00 5.994E+00 
3.400E-02 3.362E+01 3.300E+01 
3.500E-02 3.120E+01 3.060E+01 
3.600E-02 2.901E+01 2.844E+01 
3.700E-02 2.703E+01 2.649E+01 
3.800E-02 2.523E+01 2.471E+01 
3.900E-02 2.359E+01 2.309E+01 
4.000E-02 2.210E+01 2.161E+01 
4.100E-02 2.073E+01 2.026E+01 
4.200E-02 1.947E+01 1.902E+01 
4.300E-02 1.831E+01 1.788E+01 
4.400E-02 1.725E+01 1.683E+01 
4.500E-02 1.626E+01 1.586E+01 
4.600E-02 1.535E+01 1.496E+01 
4.700E-02 1.451E+01 1.413E+01 
4.800E-02 1.373E+01 1.336E+01 
4.900E-02 1.300E+01 1.264E+01 
5.000E-02 1.232E+01 1.198E+01 
5.100E-02 1.169E+01 1.136E+01 
5.200E-02 1.110E+01 1.078E+01 
5.300E-02 1.056E+01 1.024E+01 
5.400E-02 1.004E+01 9.737E+00 
5.500E-02 9.563E+00 9.266E+00 
5.600E-02 9.113E+00 8.825E+00 
5.700E-02 8.692E+00 8.412E+00 
5.800E-02 8.297E+00 8.024E+00 
5.900E-02 7.926E+00 7.661E+00 
6.000E-02 7.577E+00 7.319E+00 
6.100E-02 7.249E+00 6.998E+00 
6.200E-02 6.940E+00 6.696E+00 
6.300E-02 6.649E+00 6.412E+00 
6.400E-02 6.375E+00 6.143E+00 
6.500E-02 6.116E+00 5.890E+00 
6.600E-02 5.871E+00 5.651E+00 
6.700E-02 5.639E+00 5.425E+00 
6.800E-02 5.420E+00 5.211E+00 
6.900E-02 5.212E+00 5.008E+00 
7.000E-02 5.015E+00 4.816E+00 
7.100E-02 4.829E+00 4.634E+00 
7.200E-02 4.651E+00 4.462E+00 
7.300E-02 4.483E+00 4.298E+00 
7.400E-02 4.323E+00 4.142E+00 
7.500E-02 4.170E+00 3.993E+00 
7.600E-02 4.025E+00 3.852E+00 
7.700E-02 3.887E+00 3.718E+00 
7.800E-02 3.756E+00 3.590E+00 
7.900E-02 3.630E+00 3.468E+00 
8.000E-02 3.510E+00 3.352E+00 
8.100E-02 3.396E+00 3.241E+00 
8.200E-02 3.286E+00 3.135E+00 
