Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 5.209E+03 5.197E+03 
2.000E-03 1.285E+03 1.274E+03 
3.000E-03 1.965E+03 1.955E+03 
4.000E-03 1.251E+03 1.242E+03 
5.000E-03 7.305E+02 7.223E+02 
6.000E-03 4.672E+02 4.598E+02 
7.000E-03 3.184E+02 3.118E+02 
8.000E-03 2.287E+02 2.227E+02 
9.000E-03 1.701E+02 1.646E+02 
1.000E-02 1.306E+02 1.257E+02 
1.100E-02 1.027E+02 9.811E+01 
1.200E-02 8.247E+01 7.828E+01 
1.300E-02 6.746E+01 6.360E+01 
1.400E-02 1.340E+02 1.305E+02 
1.500E-02 1.116E+02 1.083E+02 
1.600E-02 1.515E+02 1.484E+02 
1.700E-02 1.300E+02 1.271E+02 
1.800E-02 1.126E+02 1.099E+02 
1.900E-02 9.826E+01 9.577E+01 
2.000E-02 8.637E+01 8.404E+01 
2.100E-02 7.611E+01 7.391E+01 
2.200E-02 6.747E+01 6.540E+01 
2.300E-02 6.014E+01 5.818E+01 
2.400E-02 5.387E+01 5.202E+01 
2.500E-02 4.848E+01 4.672E+01 
2.600E-02 4.381E+01 4.215E+01 
2.700E-02 3.975E+01 3.817E+01 
2.800E-02 3.620E+01 3.469E+01 
2.900E-02 3.308E+01 3.163E+01 
3.000E-02 3.032E+01 2.894E+01 
3.100E-02 2.783E+01 2.651E+01 
3.200E-02 2.562E+01 2.436E+01 
3.300E-02 2.365E+01 2.244E+01 
3.400E-02 2.188E+01 2.072E+01 
3.500E-02 2.029E+01 1.918E+01 
3.600E-02 1.886E+01 1.779E+01 
3.700E-02 1.757E+01 1.654E+01 
3.800E-02 1.640E+01 1.541E+01 
3.900E-02 1.533E+01 1.438E+01 
4.000E-02 1.436E+01 1.344E+01 
4.100E-02 1.346E+01 1.258E+01 
4.200E-02 1.264E+01 1.179E+01 
4.300E-02 1.189E+01 1.107E+01 
4.400E-02 1.120E+01 1.040E+01 
4.500E-02 1.057E+01 9.795E+00 
4.600E-02 9.979E+00 9.234E+00 
4.700E-02 9.438E+00 8.717E+00 
4.800E-02 8.937E+00 8.239E+00 
4.900E-02 8.473E+00 7.797E+00 
5.000E-02 8.042E+00 7.387E+00 
5.100E-02 7.638E+00 7.003E+00 
5.200E-02 7.262E+00 6.647E+00 
5.300E-02 6.912E+00 6.315E+00 
5.400E-02 6.586E+00 6.006E+00 
5.500E-02 6.280E+00 5.717E+00 
5.600E-02 5.995E+00 5.448E+00 
5.700E-02 5.727E+00 5.195E+00 
5.800E-02 5.477E+00 4.959E+00 
5.900E-02 5.241E+00 4.738E+00 
6.000E-02 5.020E+00 4.530E+00 
6.100E-02 4.810E+00 4.333E+00 
6.200E-02 4.613E+00 4.149E+00 
6.300E-02 4.428E+00 3.975E+00 
6.400E-02 4.253E+00 3.811E+00 
6.500E-02 4.087E+00 3.656E+00 
