Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 4.943E+03 4.936E+03 
2.000E-03 9.596E+02 9.535E+02 
3.000E-03 2.011E+03 2.006E+03 
4.000E-03 9.706E+02 9.661E+02 
5.000E-03 5.450E+02 5.411E+02 
6.000E-03 3.372E+02 3.337E+02 
7.000E-03 2.234E+02 2.203E+02 
8.000E-03 1.566E+02 1.538E+02 
9.000E-03 1.139E+02 1.114E+02 
1.000E-02 8.576E+01 8.349E+01 
1.100E-02 6.615E+01 6.406E+01 
1.200E-02 5.223E+01 5.031E+01 
1.300E-02 4.205E+01 4.028E+01 
1.400E-02 3.441E+01 3.280E+01 
1.500E-02 2.854E+01 2.709E+01 
1.600E-02 2.389E+01 2.260E+01 
1.700E-02 2.022E+01 1.906E+01 
1.800E-02 1.731E+01 1.624E+01 
1.900E-02 1.497E+01 1.396E+01 
2.000E-02 7.955E+01 7.856E+01 
2.100E-02 7.758E+01 7.660E+01 
2.200E-02 7.265E+01 7.171E+01 
2.300E-02 6.613E+01 6.524E+01 
2.400E-02 5.907E+01 5.823E+01 
2.500E-02 5.216E+01 5.138E+01 
2.600E-02 4.582E+01 4.509E+01 
2.700E-02 4.023E+01 3.955E+01 
2.800E-02 3.544E+01 3.481E+01 
2.900E-02 3.142E+01 3.083E+01 
3.000E-02 2.810E+01 2.754E+01 
3.100E-02 2.538E+01 2.485E+01 
3.200E-02 2.313E+01 2.262E+01 
3.300E-02 2.122E+01 2.074E+01 
3.400E-02 1.959E+01 1.913E+01 
3.500E-02 1.817E+01 1.773E+01 
3.600E-02 1.690E+01 1.648E+01 
3.700E-02 1.577E+01 1.537E+01 
3.800E-02 1.475E+01 1.436E+01 
3.900E-02 1.381E+01 1.343E+01 
4.000E-02 1.294E+01 1.258E+01 
4.100E-02 1.213E+01 1.178E+01 
4.200E-02 1.138E+01 1.104E+01 
4.300E-02 1.068E+01 1.035E+01 
4.400E-02 1.003E+01 9.714E+00 
4.500E-02 9.428E+00 9.125E+00 
4.600E-02 8.872E+00 8.580E+00 
4.700E-02 8.358E+00 8.076E+00 
4.800E-02 7.884E+00 7.611E+00 
4.900E-02 7.445E+00 7.182E+00 
5.000E-02 7.040E+00 6.785E+00 
5.100E-02 6.665E+00 6.419E+00 
5.200E-02 6.318E+00 6.080E+00 
5.300E-02 5.996E+00 5.765E+00 
5.400E-02 5.697E+00 5.473E+00 
5.500E-02 5.418E+00 5.201E+00 
5.600E-02 5.158E+00 4.947E+00 
5.700E-02 4.915E+00 4.710E+00 
5.800E-02 4.687E+00 4.489E+00 
5.900E-02 4.474E+00 4.281E+00 
6.000E-02 4.274E+00 4.086E+00 
6.100E-02 4.085E+00 3.903E+00 
6.200E-02 3.908E+00 3.731E+00 
6.300E-02 3.742E+00 3.569E+00 
6.400E-02 3.585E+00 3.417E+00 
6.500E-02 3.437E+00 3.273E+00 
6.600E-02 3.297E+00 3.138E+00 
6.700E-02 3.165E+00 3.010E+00 
6.800E-02 3.040E+00 2.889E+00 
6.900E-02 2.922E+00 2.775E+00 
7.000E-02 2.810E+00 2.666E+00 
7.100E-02 2.705E+00 2.564E+00 
7.200E-02 2.604E+00 2.467E+00 
7.300E-02 2.509E+00 2.375E+00 
7.400E-02 2.419E+00 2.288E+00 
7.500E-02 2.333E+00 2.205E+00 
7.600E-02 2.251E+00 2.126E+00 
7.700E-02 2.173E+00 2.051E+00 
7.800E-02 2.100E+00 1.980E+00 
7.900E-02 2.029E+00 1.912E+00 
8.000E-02 1.962E+00 1.848E+00 
8.100E-02 1.898E+00 1.787E+00 
8.200E-02 1.837E+00 1.728E+00 
8.300E-02 1.779E+00 1.672E+00 
8.400E-02 1.724E+00 1.619E+00 
8.500E-02 1.671E+00 1.568E+00 
8.600E-02 1.620E+00 1.519E+00 
8.700E-02 1.571E+00 1.473E+00 
8.800E-02 1.525E+00 1.428E+00 
8.900E-02 1.480E+00 1.386E+00 
9.000E-02 1.438E+00 1.345E+00 
9.100E-02 1.397E+00 1.306E+00 
9.200E-02 1.358E+00 1.268E+00 
9.300E-02 1.320E+00 1.233E+00 
9.400E-02 1.284E+00 1.198E+00 
9.500E-02 1.250E+00 1.165E+00 
9.600E-02 1.216E+00 1.133E+00 
9.700E-02 1.184E+00 1.103E+00 
9.800E-02 1.154E+00 1.074E+00 
9.900E-02 1.124E+00 1.045E+00 
1.000E-01 1.096E+00 1.018E+00 
1.010E-01 1.068E+00 9.924E-01 
1.020E-01 1.042E+00 9.674E-01 
1.030E-01 1.017E+00 9.432E-01 
1.040E-01 9.922E-01 9.200E-01 
1.050E-01 9.686E-01 8.976E-01 
1.060E-01 9.459E-01 8.761E-01 
1.070E-01 9.239E-01 8.553E-01 
1.080E-01 9.027E-01 8.352E-01 
1.090E-01 8.823E-01 8.159E-01 
1.100E-01 8.626E-01 7.972E-01 
1.110E-01 8.435E-01 7.792E-01 
1.120E-01 8.251E-01 7.618E-01 
1.130E-01 8.073E-01 7.450E-01 
1.140E-01 7.901E-01 7.288E-01 
1.150E-01 7.734E-01 7.131E-01 
1.160E-01 7.573E-01 6.979E-01 
1.170E-01 7.418E-01 6.832E-01 
1.180E-01 7.267E-01 6.690E-01 
1.190E-01 7.121E-01 6.553E-01 
1.200E-01 6.979E-01 6.420E-01 
1.210E-01 6.842E-01 6.291E-01 
1.220E-01 6.710E-01 6.166E-01 
1.230E-01 6.581E-01 6.045E-01 
1.240E-01 6.456E-01 5.928E-01 
1.250E-01 6.335E-01 5.815E-01 
1.260E-01 6.218E-01 5.705E-01 
1.270E-01 6.104E-01 5.598E-01 
1.280E-01 5.994E-01 5.495E-01 
1.290E-01 5.886E-01 5.395E-01 
1.300E-01 5.782E-01 5.297E-01 
1.310E-01 5.681E-01 5.203E-01 
1.320E-01 5.583E-01 5.111E-01 
1.330E-01 5.487E-01 5.022E-01 
1.340E-01 5.394E-01 4.935E-01 
1.350E-01 5.304E-01 4.851E-01 
1.360E-01 5.217E-01 4.770E-01 
1.370E-01 5.131E-01 4.690E-01 
1.380E-01 5.048E-01 4.613E-01 
1.390E-01 4.968E-01 4.538E-01 
1.400E-01 4.889E-01 4.465E-01 
1.410E-01 4.813E-01 4.394E-01 
1.420E-01 4.738E-01 4.325E-01 
1.430E-01 4.666E-01 4.258E-01 
1.440E-01 4.595E-01 4.192E-01 
1.450E-01 4.526E-01 4.128E-01 
1.460E-01 4.459E-01 4.066E-01 
1.470E-01 4.394E-01 4.006E-01 
1.480E-01 4.331E-01 3.947E-01 
1.490E-01 4.268E-01 3.890E-01 
1.500E-01 4.208E-01 3.834E-01 
1.510E-01 4.149E-01 3.780E-01 
1.520E-01 4.092E-01 3.726E-01 
1.530E-01 4.035E-01 3.675E-01 
1.540E-01 3.981E-01 3.624E-01 
1.550E-01 3.927E-01 3.575E-01 
1.560E-01 3.875E-01 3.527E-01 
1.570E-01 3.824E-01 3.480E-01 
1.580E-01 3.774E-01 3.434E-01 
1.590E-01 3.726E-01 3.390E-01 
1.600E-01 3.678E-01 3.346E-01 
1.610E-01 3.632E-01 3.304E-01 
1.620E-01 3.587E-01 3.262E-01 
1.630E-01 3.543E-01 3.222E-01 
1.640E-01 3.499E-01 3.182E-01 
1.650E-01 3.457E-01 3.143E-01 
1.660E-01 3.416E-01 3.105E-01 
1.670E-01 3.376E-01 3.068E-01 
1.680E-01 3.336E-01 3.032E-01 
1.690E-01 3.297E-01 2.997E-01 
1.700E-01 3.260E-01 2.963E-01 
1.710E-01 3.223E-01 2.929E-01 
1.720E-01 3.186E-01 2.896E-01 
1.730E-01 3.151E-01 2.863E-01 
1.740E-01 3.116E-01 2.832E-01 
1.750E-01 3.082E-01 2.801E-01 
1.760E-01 3.049E-01 2.771E-01 
1.770E-01 3.017E-01 2.741E-01 
1.780E-01 2.985E-01 2.712E-01 
1.790E-01 2.954E-01 2.684E-01 
1.800E-01 2.923E-01 2.656E-01 
1.810E-01 2.893E-01 2.629E-01 
1.820E-01 2.864E-01 2.602E-01 
1.830E-01 2.835E-01 2.576E-01 
1.840E-01 2.807E-01 2.551E-01 
1.850E-01 2.779E-01 2.526E-01 
1.860E-01 2.752E-01 2.501E-01 
1.870E-01 2.726E-01 2.477E-01 
1.880E-01 2.700E-01 2.453E-01 
1.890E-01 2.674E-01 2.430E-01 
1.900E-01 2.649E-01 2.408E-01 
1.910E-01 2.625E-01 2.385E-01 
1.920E-01 2.600E-01 2.364E-01 
1.930E-01 2.577E-01 2.342E-01 
1.940E-01 2.554E-01 2.321E-01 
1.950E-01 2.531E-01 2.301E-01 
1.960E-01 2.509E-01 2.281E-01 
1.970E-01 2.487E-01 2.261E-01 
1.980E-01 2.465E-01 2.242E-01 
1.990E-01 2.444E-01 2.223E-01 
