Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 1.570E+03 1.567E+03 
2.000E-03 2.777E+03 2.775E+03 
3.000E-03 9.784E+02 9.767E+02 
4.000E-03 4.528E+02 4.514E+02 
5.000E-03 2.451E+02 2.439E+02 
6.000E-03 1.470E+02 1.459E+02 
7.000E-03 9.488E+01 9.397E+01 
8.000E-03 6.469E+01 6.389E+01 
9.000E-03 4.602E+01 4.531E+01 
1.000E-02 3.388E+01 3.326E+01 
1.100E-02 2.565E+01 2.510E+01 
1.200E-02 1.989E+01 1.940E+01 
1.300E-02 1.573E+01 1.529E+01 
1.400E-02 1.266E+01 1.226E+01 
1.500E-02 1.034E+01 9.977E+00 
1.600E-02 8.554E+00 8.227E+00 
1.700E-02 7.162E+00 6.864E+00 
1.800E-02 6.061E+00 5.787E+00 
1.900E-02 5.179E+00 4.926E+00 
2.000E-02 4.463E+00 4.229E+00 
2.100E-02 3.878E+00 3.660E+00 
2.200E-02 3.393E+00 3.191E+00 
2.300E-02 2.990E+00 2.800E+00 
2.400E-02 2.651E+00 2.473E+00 
2.500E-02 2.364E+00 2.197E+00 
2.600E-02 2.119E+00 1.962E+00 
2.700E-02 1.910E+00 1.762E+00 
2.800E-02 1.729E+00 1.589E+00 
2.900E-02 1.573E+00 1.440E+00 
3.000E-02 1.436E+00 1.311E+00 
3.100E-02 1.317E+00 1.198E+00 
3.200E-02 1.212E+00 1.099E+00 
3.300E-02 1.120E+00 1.012E+00 
3.400E-02 1.038E+00 9.352E-01 
3.500E-02 9.652E-01 8.671E-01 
3.600E-02 9.004E-01 8.066E-01 
3.700E-02 8.423E-01 7.526E-01 
3.800E-02 7.902E-01 7.044E-01 
3.900E-02 7.433E-01 6.611E-01 
4.000E-02 7.010E-01 6.221E-01 
4.100E-02 6.627E-01 5.870E-01 
4.200E-02 6.280E-01 5.553E-01 
4.300E-02 5.963E-01 5.265E-01 
4.400E-02 5.675E-01 5.003E-01 
4.500E-02 5.412E-01 4.765E-01 
4.600E-02 5.170E-01 4.547E-01 
4.700E-02 4.949E-01 4.348E-01 
4.800E-02 4.746E-01 4.166E-01 
4.900E-02 4.558E-01 3.999E-01 
5.000E-02 4.385E-01 3.845E-01 
5.100E-02 4.225E-01 3.703E-01 
5.200E-02 4.077E-01 3.572E-01 
5.300E-02 3.939E-01 3.451E-01 
5.400E-02 3.811E-01 3.339E-01 
5.500E-02 3.692E-01 3.235E-01 
5.600E-02 3.582E-01 3.139E-01 
5.700E-02 3.478E-01 3.049E-01 
5.800E-02 3.382E-01 2.965E-01 
5.900E-02 3.291E-01 2.888E-01 
6.000E-02 3.206E-01 2.815E-01 
6.100E-02 3.127E-01 2.747E-01 
6.200E-02 3.052E-01 2.683E-01 
6.300E-02 2.982E-01 2.623E-01 
6.400E-02 2.916E-01 2.567E-01 
6.500E-02 2.854E-01 2.514E-01 
6.600E-02 2.795E-01 2.465E-01 
6.700E-02 2.739E-01 2.418E-01 
6.800E-02 2.687E-01 2.374E-01 
6.900E-02 2.637E-01 2.332E-01 
7.000E-02 2.590E-01 2.293E-01 
7.100E-02 2.545E-01 2.256E-01 
7.200E-02 2.503E-01 2.221E-01 
7.300E-02 2.462E-01 2.187E-01 
7.400E-02 2.424E-01 2.156E-01 
7.500E-02 2.387E-01 2.125E-01 
7.600E-02 2.352E-01 2.097E-01 
7.700E-02 2.319E-01 2.070E-01 
7.800E-02 2.287E-01 2.044E-01 
7.900E-02 2.257E-01 2.019E-01 
8.000E-02 2.228E-01 1.995E-01 
8.100E-02 2.200E-01 1.973E-01 
8.200E-02 2.173E-01 1.951E-01 
8.300E-02 2.148E-01 1.931E-01 
8.400E-02 2.124E-01 1.911E-01 
8.500E-02 2.100E-01 1.892E-01 
8.600E-02 2.077E-01 1.874E-01 
8.700E-02 2.056E-01 1.857E-01 
8.800E-02 2.035E-01 1.840E-01 
8.900E-02 2.015E-01 1.824E-01 
9.000E-02 1.996E-01 1.809E-01 
9.100E-02 1.977E-01 1.794E-01 
9.200E-02 1.959E-01 1.779E-01 
9.300E-02 1.942E-01 1.766E-01 
9.400E-02 1.925E-01 1.752E-01 
9.500E-02 1.909E-01 1.740E-01 
9.600E-02 1.893E-01 1.727E-01 
9.700E-02 1.878E-01 1.715E-01 
9.800E-02 1.863E-01 1.704E-01 
9.900E-02 1.849E-01 1.693E-01 
1.000E-01 1.835E-01 1.682E-01 
1.010E-01 1.822E-01 1.671E-01 
1.020E-01 1.809E-01 1.661E-01 
1.030E-01 1.797E-01 1.651E-01 
1.040E-01 1.784E-01 1.642E-01 
1.050E-01 1.773E-01 1.632E-01 
1.060E-01 1.761E-01 1.623E-01 
1.070E-01 1.750E-01 1.615E-01 
1.080E-01 1.739E-01 1.606E-01 
1.090E-01 1.729E-01 1.598E-01 
1.100E-01 1.718E-01 1.590E-01 
1.110E-01 1.708E-01 1.582E-01 
1.120E-01 1.699E-01 1.574E-01 
1.130E-01 1.689E-01 1.567E-01 
1.140E-01 1.680E-01 1.560E-01 
1.150E-01 1.671E-01 1.553E-01 
1.160E-01 1.662E-01 1.546E-01 
1.170E-01 1.653E-01 1.539E-01 
1.180E-01 1.645E-01 1.532E-01 
1.190E-01 1.637E-01 1.526E-01 
1.200E-01 1.629E-01 1.520E-01 
1.210E-01 1.621E-01 1.513E-01 
1.220E-01 1.613E-01 1.507E-01 
1.230E-01 1.606E-01 1.502E-01 
1.240E-01 1.598E-01 1.496E-01 
1.250E-01 1.591E-01 1.490E-01 
1.260E-01 1.584E-01 1.485E-01 
1.270E-01 1.577E-01 1.479E-01 
1.280E-01 1.570E-01 1.474E-01 
1.290E-01 1.564E-01 1.469E-01 
1.300E-01 1.557E-01 1.463E-01 
1.310E-01 1.551E-01 1.458E-01 
1.320E-01 1.544E-01 1.453E-01 
1.330E-01 1.538E-01 1.449E-01 
1.340E-01 1.532E-01 1.444E-01 
1.350E-01 1.526E-01 1.439E-01 
1.360E-01 1.520E-01 1.435E-01 
1.370E-01 1.515E-01 1.430E-01 
1.380E-01 1.509E-01 1.426E-01 
1.390E-01 1.504E-01 1.421E-01 
1.400E-01 1.498E-01 1.417E-01 
1.410E-01 1.493E-01 1.413E-01 
1.420E-01 1.488E-01 1.408E-01 
1.430E-01 1.482E-01 1.404E-01 
1.440E-01 1.477E-01 1.400E-01 
1.450E-01 1.472E-01 1.396E-01 
1.460E-01 1.467E-01 1.392E-01 
1.470E-01 1.463E-01 1.388E-01 
1.480E-01 1.458E-01 1.385E-01 
1.490E-01 1.453E-01 1.381E-01 
1.500E-01 1.448E-01 1.377E-01 
1.510E-01 1.444E-01 1.373E-01 
1.520E-01 1.439E-01 1.370E-01 
1.530E-01 1.435E-01 1.366E-01 
1.540E-01 1.430E-01 1.363E-01 
1.550E-01 1.426E-01 1.359E-01 
1.560E-01 1.422E-01 1.356E-01 
1.570E-01 1.418E-01 1.352E-01 
1.580E-01 1.413E-01 1.349E-01 
1.590E-01 1.409E-01 1.346E-01 
1.600E-01 1.405E-01 1.342E-01 
1.610E-01 1.401E-01 1.339E-01 
1.620E-01 1.397E-01 1.336E-01 
1.630E-01 1.393E-01 1.333E-01 
1.640E-01 1.390E-01 1.330E-01 
1.650E-01 1.386E-01 1.326E-01 
1.660E-01 1.382E-01 1.323E-01 
1.670E-01 1.378E-01 1.320E-01 
1.680E-01 1.375E-01 1.317E-01 
1.690E-01 1.371E-01 1.314E-01 
1.700E-01 1.367E-01 1.311E-01 
1.710E-01 1.364E-01 1.309E-01 
1.720E-01 1.360E-01 1.306E-01 
1.730E-01 1.357E-01 1.303E-01 
1.740E-01 1.353E-01 1.300E-01 
1.750E-01 1.350E-01 1.297E-01 
1.760E-01 1.347E-01 1.294E-01 
1.770E-01 1.343E-01 1.292E-01 
1.780E-01 1.340E-01 1.289E-01 
1.790E-01 1.337E-01 1.286E-01 
1.800E-01 1.334E-01 1.284E-01 
1.810E-01 1.330E-01 1.281E-01 
1.820E-01 1.327E-01 1.278E-01 
1.830E-01 1.324E-01 1.276E-01 
1.840E-01 1.321E-01 1.273E-01 
1.850E-01 1.318E-01 1.271E-01 
1.860E-01 1.315E-01 1.268E-01 
1.870E-01 1.312E-01 1.265E-01 
1.880E-01 1.309E-01 1.263E-01 
1.890E-01 1.306E-01 1.261E-01 
1.900E-01 1.303E-01 1.258E-01 
1.910E-01 1.300E-01 1.256E-01 
1.920E-01 1.297E-01 1.253E-01 
1.930E-01 1.295E-01 1.251E-01 
1.940E-01 1.292E-01 1.248E-01 
1.950E-01 1.289E-01 1.246E-01 
1.960E-01 1.286E-01 1.244E-01 
1.970E-01 1.283E-01 1.241E-01 
