Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 3.509E+03 3.498E+03 
2.000E-03 3.771E+03 3.761E+03 
3.000E-03 1.838E+03 1.829E+03 
4.000E-03 9.222E+02 9.139E+02 
5.000E-03 5.329E+02 5.255E+02 
6.000E-03 3.382E+02 3.316E+02 
7.000E-03 2.292E+02 2.233E+02 
8.000E-03 1.639E+02 1.586E+02 
9.000E-03 1.216E+02 1.167E+02 
1.000E-02 2.379E+02 2.335E+02 
1.100E-02 1.849E+02 1.810E+02 
1.200E-02 2.352E+02 2.316E+02 
1.300E-02 1.922E+02 1.889E+02 
1.400E-02 1.594E+02 1.564E+02 
1.500E-02 1.340E+02 1.312E+02 
1.600E-02 1.132E+02 1.106E+02 
1.700E-02 9.668E+01 9.424E+01 
1.800E-02 8.331E+01 8.103E+01 
1.900E-02 7.237E+01 7.024E+01 
2.000E-02 6.334E+01 6.134E+01 
2.100E-02 5.570E+01 5.381E+01 
2.200E-02 4.927E+01 4.750E+01 
2.300E-02 4.384E+01 4.216E+01 
2.400E-02 3.920E+01 3.761E+01 
2.500E-02 3.522E+01 3.372E+01 
2.600E-02 3.178E+01 3.035E+01 
2.700E-02 2.880E+01 2.743E+01 
2.800E-02 2.619E+01 2.489E+01 
2.900E-02 2.389E+01 2.266E+01 
3.000E-02 2.187E+01 2.069E+01 
3.100E-02 2.005E+01 1.893E+01 
3.200E-02 1.844E+01 1.736E+01 
3.300E-02 1.700E+01 1.597E+01 
3.400E-02 1.571E+01 1.472E+01 
3.500E-02 1.456E+01 1.361E+01 
3.600E-02 1.352E+01 1.261E+01 
3.700E-02 1.258E+01 1.170E+01 
3.800E-02 1.173E+01 1.089E+01 
3.900E-02 1.096E+01 1.015E+01 
4.000E-02 1.025E+01 9.477E+00 
4.100E-02 9.609E+00 8.859E+00 
4.200E-02 9.018E+00 8.296E+00 
4.300E-02 8.478E+00 7.781E+00 
4.400E-02 7.981E+00 7.309E+00 
4.500E-02 7.525E+00 6.876E+00 
4.600E-02 7.105E+00 6.478E+00 
4.700E-02 6.717E+00 6.110E+00 
4.800E-02 6.358E+00 5.772E+00 
4.900E-02 6.026E+00 5.458E+00 
5.000E-02 5.718E+00 5.168E+00 
5.100E-02 5.430E+00 4.897E+00 
5.200E-02 5.163E+00 4.645E+00 
5.300E-02 4.913E+00 4.411E+00 
5.400E-02 4.681E+00 4.194E+00 
5.500E-02 4.464E+00 3.990E+00 
5.600E-02 4.261E+00 3.801E+00 
5.700E-02 4.071E+00 3.624E+00 
5.800E-02 3.893E+00 3.458E+00 
5.900E-02 3.726E+00 3.302E+00 
6.000E-02 3.569E+00 3.156E+00 
6.100E-02 3.421E+00 3.019E+00 
6.200E-02 3.281E+00 2.890E+00 
6.300E-02 3.150E+00 2.769E+00 
6.400E-02 3.026E+00 2.654E+00 
6.500E-02 2.909E+00 2.546E+00 
6.600E-02 2.798E+00 2.445E+00 
6.700E-02 2.694E+00 2.349E+00 
6.800E-02 1.154E+01 1.120E+01 
6.900E-02 1.111E+01 1.078E+01 
7.000E-02 1.070E+01 1.038E+01 
