Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 8.155E+03 8.147E+03 
2.000E-03 1.665E+03 1.658E+03 
3.000E-03 6.140E+02 6.078E+02 
4.000E-03 9.394E+02 9.340E+02 
5.000E-03 8.469E+02 8.422E+02 
6.000E-03 5.292E+02 5.251E+02 
7.000E-03 3.540E+02 3.504E+02 
8.000E-03 2.501E+02 2.468E+02 
9.000E-03 1.829E+02 1.800E+02 
1.000E-02 1.384E+02 1.358E+02 
1.100E-02 1.071E+02 1.047E+02 
1.200E-02 8.474E+01 8.253E+01 
1.300E-02 6.837E+01 6.633E+01 
1.400E-02 5.607E+01 5.419E+01 
1.500E-02 4.664E+01 4.490E+01 
1.600E-02 3.916E+01 3.754E+01 
1.700E-02 3.324E+01 3.173E+01 
1.800E-02 2.849E+01 2.708E+01 
1.900E-02 2.463E+01 2.332E+01 
2.000E-02 2.146E+01 2.023E+01 
2.100E-02 1.880E+01 1.765E+01 
2.200E-02 1.657E+01 1.549E+01 
2.300E-02 1.470E+01 1.368E+01 
2.400E-02 1.310E+01 1.215E+01 
2.500E-02 1.174E+01 1.084E+01 
2.600E-02 1.057E+01 9.720E+00 
2.700E-02 9.557E+00 8.750E+00 
2.800E-02 8.674E+00 7.909E+00 
2.900E-02 7.902E+00 7.175E+00 
3.000E-02 4.121E+01 4.052E+01 
3.100E-02 3.833E+01 3.767E+01 
3.200E-02 3.554E+01 3.491E+01 
3.300E-02 3.290E+01 3.230E+01 
3.400E-02 3.044E+01 2.986E+01 
3.500E-02 2.815E+01 2.760E+01 
3.600E-02 2.606E+01 2.553E+01 
3.700E-02 2.414E+01 2.364E+01 
3.800E-02 2.241E+01 2.192E+01 
3.900E-02 2.084E+01 2.037E+01 
4.000E-02 1.943E+01 1.897E+01 
4.100E-02 1.815E+01 1.772E+01 
4.200E-02 1.700E+01 1.658E+01 
4.300E-02 1.596E+01 1.556E+01 
4.400E-02 1.501E+01 1.462E+01 
4.500E-02 1.414E+01 1.376E+01 
4.600E-02 1.334E+01 1.297E+01 
4.700E-02 1.260E+01 1.225E+01 
4.800E-02 1.192E+01 1.158E+01 
4.900E-02 1.129E+01 1.096E+01 
5.000E-02 1.070E+01 1.038E+01 
5.100E-02 1.015E+01 9.841E+00 
5.200E-02 9.639E+00 9.338E+00 
5.300E-02 9.161E+00 8.869E+00 
5.400E-02 8.714E+00 8.431E+00 
5.500E-02 8.296E+00 8.021E+00 
5.600E-02 7.904E+00 7.638E+00 
5.700E-02 7.537E+00 7.278E+00 
5.800E-02 7.193E+00 6.941E+00 
5.900E-02 6.869E+00 6.625E+00 
6.000E-02 6.565E+00 6.327E+00 
6.100E-02 6.279E+00 6.048E+00 
6.200E-02 6.010E+00 5.785E+00 
6.300E-02 5.757E+00 5.537E+00 
6.400E-02 5.518E+00 5.304E+00 
6.500E-02 5.292E+00 5.084E+00 
6.600E-02 5.079E+00 4.876E+00 
6.700E-02 4.877E+00 4.680E+00 
6.800E-02 4.686E+00 4.494E+00 
6.900E-02 4.506E+00 4.318E+00 
7.000E-02 4.335E+00 4.151E+00 
7.100E-02 4.172E+00 3.993E+00 
7.200E-02 4.018E+00 3.844E+00 
7.300E-02 3.872E+00 3.701E+00 
7.400E-02 3.733E+00 3.566E+00 
7.500E-02 3.601E+00 3.438E+00 
7.600E-02 3.475E+00 3.316E+00 
7.700E-02 3.355E+00 3.200E+00 
7.800E-02 3.241E+00 3.089E+00 
7.900E-02 3.132E+00 2.984E+00 
8.000E-02 3.029E+00 2.883E+00 
8.100E-02 2.930E+00 2.787E+00 
8.200E-02 2.835E+00 2.696E+00 
8.300E-02 2.745E+00 2.608E+00 
8.400E-02 2.659E+00 2.525E+00 
8.500E-02 2.576E+00 2.445E+00 
8.600E-02 2.497E+00 2.369E+00 
8.700E-02 2.421E+00 2.296E+00 
8.800E-02 2.349E+00 2.226E+00 
8.900E-02 2.280E+00 2.159E+00 
9.000E-02 2.213E+00 2.094E+00 
9.100E-02 2.149E+00 2.033E+00 
9.200E-02 2.088E+00 1.974E+00 
9.300E-02 2.029E+00 1.917E+00 
9.400E-02 1.973E+00 1.863E+00 
9.500E-02 1.918E+00 1.810E+00 
9.600E-02 1.866E+00 1.760E+00 
9.700E-02 1.816E+00 1.712E+00 
9.800E-02 1.768E+00 1.666E+00 
9.900E-02 1.721E+00 1.621E+00 
1.000E-01 1.677E+00 1.578E+00 
1.010E-01 1.634E+00 1.537E+00 
1.020E-01 1.592E+00 1.497E+00 
1.030E-01 1.552E+00 1.459E+00 
1.040E-01 1.514E+00 1.422E+00 
1.050E-01 1.477E+00 1.386E+00 
1.060E-01 1.441E+00 1.352E+00 
1.070E-01 1.406E+00 1.319E+00 
1.080E-01 1.373E+00 1.287E+00 
1.090E-01 1.340E+00 1.256E+00 
1.100E-01 1.309E+00 1.226E+00 
1.110E-01 1.279E+00 1.197E+00 
1.120E-01 1.250E+00 1.169E+00 
1.130E-01 1.222E+00 1.143E+00 
1.140E-01 1.195E+00 1.117E+00 
1.150E-01 1.168E+00 1.091E+00 
1.160E-01 1.143E+00 1.067E+00 
1.170E-01 1.118E+00 1.044E+00 
1.180E-01 1.094E+00 1.021E+00 
1.190E-01 1.071E+00 9.989E-01 
1.200E-01 1.049E+00 9.775E-01 
1.210E-01 1.027E+00 9.569E-01 
1.220E-01 1.006E+00 9.369E-01 
1.230E-01 9.859E-01 9.175E-01 
1.240E-01 9.661E-01 8.987E-01 
1.250E-01 9.469E-01 8.805E-01 
1.260E-01 9.283E-01 8.628E-01 
1.270E-01 9.102E-01 8.457E-01 
1.280E-01 8.927E-01 8.290E-01 
1.290E-01 8.757E-01 8.129E-01 
1.300E-01 8.592E-01 7.972E-01 
1.310E-01 8.431E-01 7.820E-01 
1.320E-01 8.275E-01 7.672E-01 
1.330E-01 8.124E-01 7.529E-01 
