Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 3.683E+03 3.672E+03 
2.000E-03 3.921E+03 3.911E+03 
3.000E-03 1.902E+03 1.893E+03 
4.000E-03 9.563E+02 9.480E+02 
5.000E-03 5.532E+02 5.457E+02 
6.000E-03 3.513E+02 3.446E+02 
7.000E-03 2.383E+02 2.323E+02 
8.000E-03 1.705E+02 1.651E+02 
9.000E-03 1.265E+02 1.216E+02 
1.000E-02 9.690E+01 9.245E+01 
1.100E-02 1.917E+02 1.876E+02 
1.200E-02 2.107E+02 2.070E+02 
1.300E-02 1.989E+02 1.955E+02 
1.400E-02 1.651E+02 1.620E+02 
1.500E-02 1.389E+02 1.360E+02 
1.600E-02 1.174E+02 1.147E+02 
1.700E-02 1.002E+02 9.776E+01 
1.800E-02 8.639E+01 8.408E+01 
1.900E-02 7.507E+01 7.291E+01 
2.000E-02 6.572E+01 6.368E+01 
2.100E-02 5.780E+01 5.588E+01 
2.200E-02 5.114E+01 4.934E+01 
2.300E-02 4.551E+01 4.380E+01 
2.400E-02 4.070E+01 3.909E+01 
2.500E-02 3.658E+01 3.504E+01 
2.600E-02 3.301E+01 3.155E+01 
2.700E-02 2.991E+01 2.852E+01 
2.800E-02 2.720E+01 2.588E+01 
2.900E-02 2.483E+01 2.356E+01 
3.000E-02 2.273E+01 2.153E+01 
3.100E-02 2.084E+01 1.969E+01 
3.200E-02 1.917E+01 1.807E+01 
3.300E-02 1.767E+01 1.662E+01 
3.400E-02 1.634E+01 1.533E+01 
3.500E-02 1.514E+01 1.417E+01 
3.600E-02 1.406E+01 1.313E+01 
3.700E-02 1.308E+01 1.219E+01 
3.800E-02 1.220E+01 1.134E+01 
3.900E-02 1.140E+01 1.057E+01 
4.000E-02 1.067E+01 9.875E+00 
4.100E-02 9.997E+00 9.233E+00 
4.200E-02 9.383E+00 8.646E+00 
4.300E-02 8.821E+00 8.110E+00 
4.400E-02 8.305E+00 7.619E+00 
4.500E-02 7.830E+00 7.168E+00 
4.600E-02 7.393E+00 6.753E+00 
4.700E-02 6.989E+00 6.371E+00 
4.800E-02 6.616E+00 6.018E+00 
